state,county,2010_population,2015_population,,FIPS
North Carolina,Carteret,66469,68712,CarteretNorth Carolina,37031
Minnesota,Carver,91042,98630,CarverMinnesota,27019
Montana,Cascade,81327,81878,CascadeMontana,30013
Kentucky,Casey,15955,15749,CaseyKentucky,21045
Illinois,Cass,13642,12843,CassIllinois,17017
Indiana,Cass,38966,38081,CassIndiana,18017
Iowa,Cass,13956,13351,CassIowa,19029
Michigan,Cass,52293,51342,CassMichigan,26027
Minnesota,Cass,28567,28698,CassMinnesota,27021
Missouri,Cass,99478,101339,CassMissouri,29037
Nebraska,Cass,25241,25421,CassNebraska,31025
North Dakota,Cass,149778,170722,CassNorth Dakota,38017
Texas,Cass,30464,30140,CassTexas,48067
Idaho,Cassia,22952,23499,CassiaIdaho,16031
Texas,Castro,8062,7787,CastroTexas,48069
North Carolina,Caswell,23719,22813,CaswellNorth Carolina,37033
Louisiana,Catahoula,10407,10029,CatahoulaLouisiana,22025
North Carolina,Catawba,154358,155527,CatawbaNorth Carolina,37035
Georgia,Catoosa,63942,65778,CatoosaGeorgia,13047
New Mexico,Catron,3725,3476,CatronNew Mexico,35003
New York,Cattaraugus,80317,77926,CattaraugusNew York,36009
North Dakota,Cavalier,3993,3827,CavalierNorth Dakota,38019
New York,Cayuga,80026,78298,CayugaNew York,36011
Maryland,Cecil,101108,102382,CecilMaryland,24015
Iowa,Cedar,18499,18254,CedarIowa,19031
Missouri,Cedar,13982,13782,CedarMissouri,29039
Nebraska,Cedar,8852,8518,CedarNebraska,31027
Pennsylvania,Centre,153990,160466,CentrePennsylvania,42027
Iowa,CerroGordo,44151,42983,CerroGordoIowa,19033
Colorado,Chaffee,17809,18612,ChaffeeColorado,8015
Alabama,Chambers,34215,33996,ChambersAlabama,1017
Texas,Chambers,35096,39028,ChambersTexas,48071
Illinois,Champaign,201081,209382,ChampaignIllinois,17019
Ohio,Champaign,40097,38963,ChampaignOhio,39021
Missouri,Chariton,7831,7576,CharitonMissouri,29041
Virginia,CharlesCity,7256,7046,CharlesCityVirginia,51036
Maryland,Charles,146551,155665,CharlesMaryland,24017
South Dakota,CharlesMix,9129,9360,CharlesMixSouth Dakota,46023
South Carolina,Charleston,350209,389310,CharlestonSouth Carolina,45019
Michigan,Charlevoix,25949,26210,CharlevoixMichigan,26029
Florida,Charlotte,159978,172382,CharlotteFlorida,12015
Virginia,Charlotte,12586,12179,CharlotteVirginia,51037
Virginia,CharlottesvilleCity,43475,46301,CharlottesvilleCityVirginia,51540
Georgia,Charlton,12171,13239,CharltonGeorgia,13049
Kansas,Chase,2790,2656,ChaseKansas,20017
Nebraska,Chase,3966,3963,ChaseNebraska,31029
Georgia,Chatham,265128,285959,ChathamGeorgia,13051
North Carolina,Chatham,63505,68263,ChathamNorth Carolina,37037
Georgia,Chattahoochee,11267,11042,ChattahoocheeGeorgia,13053
Georgia,Chattooga,26015,24905,ChattoogaGeorgia,13055
Kansas,Chautauqua,3669,3387,ChautauquaKansas,20019
New York,Chautauqua,134905,130529,ChautauquaNew York,36013
New Mexico,Chaves,65645,65825,ChavesNew Mexico,35005
Tennessee,Cheatham,39105,39593,CheathamTennessee,47021
Michigan,Cheboygan,26152,25399,CheboyganMichigan,26031
Washington,Chelan,72453,75041,ChelanWashington,53007
New York,Chemung,88830,86705,ChemungNew York,36015
New York,Chenango,50477,48772,ChenangoNew York,36017
Alabama,Cherokee,25989,25732,CherokeeAlabama,1019
Georgia,Cherokee,214346,235329,CherokeeGeorgia,13057
Iowa,Cherokee,12072,11483,CherokeeIowa,19035
Kansas,Cherokee,21603,20535,CherokeeKansas,20021
North Carolina,Cherokee,27444,27102,CherokeeNorth Carolina,37039
Oklahoma,Cherokee,46987,48376,CherokeeOklahoma,40021
South Carolina,Cherokee,55342,56512,CherokeeSouth Carolina,45021
Texas,Cherokee,50845,51568,CherokeeTexas,48073
