state,county,FIPS,SVI_sum_of_indicators,SVI_ranking,percent_uninsured
VERMONT,Windsor,50027,5.0293,0.1296,6.7
INDIANA,Franklin,18047,5.0296,0.1299,8.4
WISCONSIN,Pepin,55091,5.0334,0.1302,8.7
TEXAS,Armstrong,48011,5.0344,0.1305,6.8
NORTH DAKOTA,Barnes,38003,5.0401,0.1309,6.8
INDIANA,Tipton,18159,5.043,0.1312,9.6
NORTH DAKOTA,Dickey,38021,5.0443,0.1315,7
NORTH DAKOTA,Burleigh,38015,5.0478,0.1318,6.9
PENNSYLVANIA,Westmoreland,42129,5.0564,0.1321,5.3
IOWA,Plymouth,19149,5.057,0.1324,5.6
VIRGINIA,Albemarle,51003,5.0605,0.1328,8
MICHIGAN,Oakland,26125,5.0618,0.1331,7
PENNSYLVANIA,Chester,42029,5.0662,0.1334,6.9
NEBRASKA,Hooker,31091,5.0764,0.1337,7.6
OHIO,Ottawa,39123,5.0774,0.134,7
KANSAS,Washington,20201,5.0777,0.1344,7
VIRGINIA,Falls Church City,51610,5.0802,0.1347,3.4
IOWA,Poweshiek,19157,5.0818,0.135,7.1
VERMONT,Franklin,50011,5.0853,0.1353,5.1
VIRGINIA,Stafford,51179,5.0876,0.1356,7.8
ILLINOIS,Effingham,17049,5.0898,0.1359,6.6
VIRGINIA,Roanoke,51161,5.0923,0.1363,6.6
MINNESOTA,Marshall,27089,5.0996,0.1366,7
RHODE ISLAND,Kent,44003,5.1022,0.1369,5.7
NEBRASKA,York,31185,5.1025,0.1372,7.7
TENNESSEE,Wilson,47189,5.1073,0.1375,8
MONTANA,Richland,30083,5.1111,0.1379,15
MINNESOTA,Kittson,27069,5.1178,0.1382,6.5
ILLINOIS,Hamilton,17065,5.1191,0.1385,10.3
NEW HAMPSHIRE,Merrimack,33013,5.12,0.1388,7.7
NEBRASKA,Nuckolls,31129,5.1203,0.1391,10.3
INDIANA,Huntington,18069,5.1216,0.1394,10.5
WASHINGTON,Garfield,53023,5.1216,0.1398,9.2
IOWA,Jones,19105,5.1254,0.1401,5
MINNESOTA,Crow Wing,27035,5.1321,0.1404,6.7
IOWA,Monona,19133,5.1344,0.1407,6.9
OHIO,Van Wert,39161,5.1433,0.141,8.2
KANSAS,Coffey,20031,5.1436,0.1414,9.6
IOWA,O'Brien,19141,5.1455,0.1417,5.5
MICHIGAN,Grand Traverse,26055,5.1458,0.142,8.5
WISCONSIN,Lafayette,55065,5.1471,0.1423,9.4
KANSAS,Logan,20109,5.1474,0.1426,6.1
MINNESOTA,McLeod,27085,5.1493,0.1429,5.9
TEXAS,Collin,48085,5.15,0.1433,11.8
MINNESOTA,Anoka,27003,5.1506,0.1436,5.3
VIRGINIA,Northumberland,51133,5.1582,0.1439,8.6
UTAH,Kane,49025,5.1601,0.1442,17.6
MISSOURI,Clay,29047,5.1646,0.1445,9.1
KANSAS,Mitchell,20123,5.1656,0.1449,6.6
NEW HAMPSHIRE,Sullivan,33019,5.1675,0.1452,9.5
MICHIGAN,Monroe,26115,5.1681,0.1455,6.8
KANSAS,Morris,20127,5.1684,0.1458,9.3
SOUTH DAKOTA,Hamlin,46057,5.1706,0.1461,5.2
MARYLAND,Charles,24017,5.1722,0.1465,4.4
IOWA,Howard,19089,5.1729,0.1468,7.6
LOUISIANA,Cameron,22023,5.1735,0.1471,9.7
IOWA,Linn,19113,5.1751,0.1474,5.1
MICHIGAN,Charlevoix,26029,5.1786,0.1477,8.7
MONTANA,Wibaux,30109,5.1824,0.148,12.1
MINNESOTA,Hubbard,27057,5.1859,0.1484,7.7
COLORADO,Eagle,8037,5.1894,0.1487,18.4
VERMONT,Lamoille,50015,5.1955,0.149,7.8
OHIO,Wood,39173,5.1983,0.1493,5.7
NEW HAMPSHIRE,Cheshire,33005,5.2025,0.1496,9.6
